Year,Month,ParentSKU,Net Sales calculated
2018,9,F0034,3863822
2018,9,F0089,5031599
2018,9,F0091,1873009
2018,9,F0094,3407161
2018,9,F0098,3312322
2018,9,F0099,5000599
2018,9,F0101,1407289
2018,9,F0112,525586
2018,9,F0113,546078
2018,9,F0140,691581
2018,9,F0147,803319
2018,9,F0167,1088398
2018,9,F0168,384436
2018,9,F0193,1296783
2018,9,F0194,761450
2018,9,F0196,462203
2018,9,F0199,636793
2018,9,F0201,1080655
2018,9,F0202,1081061
2018,9,F0204,740956
2018,9,F0206,529270
2018,9,F0207,802142
2018,9,F0210,712957
2018,9,F0212,934242
2018,9,F0214,1032538
2018,9,F0215,1582733
2018,9,F0216,1012605
2018,9,F0217,1046641
2018,9,F0218,1032500
2018,9,F0232,905711
2018,9,F0233,374971
2018,9,F0306,1804601
2018,9,F0307,1440018
2018,9,F0311,1230406
2018,9,F0319,1438689
2018,9,F0320,1017311
2018,9,F0321,883004
2018,9,F0328,1051047
2018,9,F0365,1312579
2018,9,F0367,1951640
2018,9,F0369,1693035
2018,9,F0371,1079749
2018,9,F0387,810739
2018,9,F0469,4156412
2018,9,F0470,2807431
2018,9,T0270,723241
2018,10,F0033,3159314
2018,10,F0034,3017053
2018,10,F0089,1947850
2018,10,F0091,1868124
2018,10,F0094,2245046
2018,10,F0098,2880167
2018,10,F0099,3484499
2018,10,F0101,1369444
2018,10,F0112,246406
2018,10,F0113,305189
2018,10,F0140,235565
2018,10,F0147,1854931
2018,10,F0167,915780
2018,10,F0168,307610
2018,10,F0193,1643773
2018,10,F0194,389587
2018,10,F0196,626779
2018,10,F0199,332217
2018,10,F0201,471244
2018,10,F0202,1095034
2018,10,F0204,641594
2018,10,F0206,448136
2018,10,F0207,512613
2018,10,F0210,661350
2018,10,F0212,318202
2018,10,F0214,962258
2018,10,F0215,1301871
2018,10,F0216,844174
2018,10,F0217,1027449
2018,10,F0218,898348
2018,10,F0232,917548
2018,10,F0233,226903
2018,10,F0306,1622078
2018,10,F0307,997713
2018,10,F0311,1427471
2018,10,F0319,1339242
2018,10,F0320,853846
2018,10,F0321,1086851
2018,10,F0328,1107203
2018,10,F0365,1113342
2018,10,F0367,1282867
2018,10,F0369,959657
2018,10,F0371,1578661
2018,10,F0387,531399
2018,10,F0469,4617235
2018,10,F0470,2978492
2018,10,T0270,669880
2018,11,F0033,1246609
2018,11,F0034,2824321
2018,11,F0089,6521248
2018,11,F0091,284109
2018,11,F0094,2000962
2018,11,F0098,2083422
2018,11,F0099,2621908
2018,11,F0101,1230794
2018,11,F0112,97420
2018,11,F0113,163136
2018,11,F0140,44095
2018,11,F0147,395335
2018,11,F0167,847509
2018,11,F0168,351976
2018,11,F0193,1693805
2018,11,F0194,141133
2018,11,F0196,406597
2018,11,F0199,144456
2018,11,F0201,249481
2018,11,F0202,951180
2018,11,F0204,261640
2018,11,F0206,233518
2018,11,F0207,213574
2018,11,F0210,686836
2018,11,F0212,898323
2018,11,F0214,446021
2018,11,F0215,1191443
2018,11,F0216,591527
2018,11,F0217,843341
2018,11,F0218,834726
2018,11,F0232,328114
2018,11,F0233,621601
2018,11,F0306,1331345
2018,11,F0307,1244110
2018,11,F0311,939788
2018,11,F0319,1597441
2018,11,F0320,1030556
2018,11,F0321,1092456
2018,11,F0328,966250
2018,11,F0365,936660
2018,11,F0367,866960
2018,11,F0369,756691
2018,11,F0371,1250579
2018,11,F0387,2187206
2018,11,F0469,1429378
2018,11,F0470,2364386
2018,11,T0270,202308
2018,12,F0033,2813041
2018,12,F0034,2154375
2018,12,F0089,6488373
2018,12,F0091,2243547
